ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Direction
201690_s_at,4.11e-19,3.52e-21,1.15e+01,37.5957576,3.75,TPD52,tumor protein D52,Upregulated
207275_s_at,4.16e-19,3.57e-21,-1.15e+01,37.5831381,-4.52,ACSL1,acyl-CoA synthetase long-chain family member 1,Downregulated
231050_at,4.16e-19,3.58e-21,-1.15e+01,37.5803264,-3.38,HRASLS5,HRAS like suppressor family member 5,Downregulated
231773_at,4.31e-19,3.71e-21,-1.15e+01,37.5424394,-3.74,ANGPTL1,angiopoietin like 1,Downregulated
211653_x_at,5.21e-19,4.55e-21,-1.15e+01,37.3425675,-5.45,LOC101930400///AKR1C2,"aldo-keto reductase family 1 member C2-like///aldo-keto reductase family 1, member C2",Downregulated
226875_at,5.64e-19,4.97e-21,-1.15e+01,37.2540076,-4.36,DOCK11,dedicator of cytokinesis 11,Downregulated
229357_at,7.41e-19,6.68e-21,-1.14e+01,36.961792,-3.86,ADAMTS5,ADAM metallopeptidase with thrombospondin type 1 motif 5,Downregulated
218186_at,8.23e-19,7.48e-21,1.14e+01,36.8497,4.22,RAB25,"RAB25, member RAS oncogene family",Upregulated
229693_at,8.42e-19,7.70e-21,-1.14e+01,36.8212159,-3.13,TMEM220,transmembrane protein 220,Downregulated
228409_at,8.66e-19,7.93e-21,-1.14e+01,36.7917999,-5.96,PLIN4,perilipin 4,Downregulated
205980_s_at,9.59e-19,8.84e-21,1.14e+01,36.6848404,3.79,PRR5-ARHGAP8///ARHGAP8,PRR5-ARHGAP8 readthrough///Rho GTPase activating protein 8,Upregulated
238009_at,1.04e-18,9.69e-21,-1.14e+01,36.5937034,-3.24,SOX5,SRY-box 5,Downregulated
209542_x_at,1.05e-18,9.75e-21,-1.14e+01,36.5876511,-3.87,IGF1,insulin like growth factor 1,Downregulated
214091_s_at,1.06e-18,9.86e-21,-1.14e+01,36.5762663,-5.02,GPX3,glutathione peroxidase 3,Downregulated
216333_x_at,1.07e-18,1.00e-20,-1.13e+01,36.5601398,-3.98,TNXB///TNXA,tenascin XB///tenascin XA (pseudogene),Downregulated
202525_at,1.07e-18,1.01e-20,1.13e+01,36.552496,3.85,PRSS8,"protease, serine 8",Upregulated
209220_at,1.09e-18,1.03e-20,-1.13e+01,36.5332274,-3.46,GPC3,glypican 3,Downregulated
1554062_at,1.11e-18,1.05e-20,-1.13e+01,36.5135705,-3.27,XG,Xg blood group,Downregulated
218237_s_at,1.21e-18,1.15e-20,1.13e+01,36.4226934,4.16,SLC38A1,solute carrier family 38 member 1,Upregulated
226751_at,1.22e-18,1.16e-20,-1.13e+01,36.4192349,-3.20,CNRIP1,cannabinoid receptor interacting protein 1,Downregulated
219395_at,1.22e-18,1.16e-20,1.13e+01,36.4154904,3.28,MIR6773///ESRP2,microRNA 6773///epithelial splicing regulatory protein 2,Upregulated
224881_at,1.25e-18,1.20e-20,-1.13e+01,36.3816792,-3.44,VKORC1L1,vitamin K epoxide reductase complex subunit 1 like 1,Downregulated
228692_at,1.36e-18,1.31e-20,-1.13e+01,36.2973723,-3.05,PREX2,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2",Downregulated
205792_at,1.41e-18,1.37e-20,-1.13e+01,36.2529622,-4.04,WISP2,WNT1 inducible signaling pathway protein 2,Downregulated
216331_at,2.16e-18,2.13e-20,-1.12e+01,35.8141637,-4.17,ITGA7,integrin subunit alpha 7,Downregulated
213089_at,2.41e-18,2.39e-20,1.12e+01,35.6990224,3.27,LOC100272216,uncharacterized LOC100272216,Upregulated
230867_at,2.85e-18,2.87e-20,-1.12e+01,35.5195218,-3.54,COL6A6,collagen type VI alpha 6 chain,Downregulated
209686_at,3.07e-18,3.12e-20,-1.11e+01,35.4365336,-5.36,S100B,S100 calcium binding protein B,Downregulated
224461_s_at,4.21e-18,4.33e-20,-1.11e+01,35.1123563,-3.42,AIFM2,"apoptosis inducing factor, mitochondria associated 2",Downregulated
240869_at,4.28e-18,4.41e-20,-1.11e+01,35.0948258,-3.16,KCNB1,potassium voltage-gated channel subfamily B member 1,Downregulated
209008_x_at,4.70e-18,4.86e-20,1.11e+01,34.9988135,3.98,KRT8,keratin 8,Upregulated
203851_at,4.72e-18,4.89e-20,-1.11e+01,34.992491,-3.71,IGFBP6,insulin like growth factor binding protein 6,Downregulated
205913_at,5.16e-18,5.38e-20,-1.10e+01,34.8975924,-6.39,PLIN1,perilipin 1,Downregulated
218039_at,6.52e-18,6.87e-20,1.10e+01,34.6555907,3.75,NUSAP1,nucleolar and spindle associated protein 1,Upregulated
217047_s_at,7.24e-18,7.67e-20,-1.10e+01,34.5471261,-3.38,FAM13A,family with sequence similarity 13 member A,Downregulated
32837_at,7.81e-18,8.33e-20,-1.10e+01,34.4653259,-3.55,AGPAT2,1-acylglycerol-3-phosphate O-acyltransferase 2,Downregulated
201596_x_at,8.18e-18,8.75e-20,1.10e+01,34.4165846,4.92,KRT18,keratin 18,Upregulated
219093_at,8.79e-18,9.42e-20,-1.09e+01,34.3432413,-3.28,PID1,phosphotyrosine interaction domain containing 1,Downregulated
201131_s_at,9.24e-18,9.96e-20,1.09e+01,34.2884979,4.89,CDH1,cadherin 1,Upregulated
224822_at,9.68e-18,1.05e-19,-1.09e+01,34.2347604,-3.04,DLC1,DLC1 Rho GTPase activating protein,Downregulated
235141_at,9.85e-18,1.07e-19,1.09e+01,34.2157401,3.31,MARVELD2,MARVEL domain containing 2,Upregulated
207096_at,1.13e-17,1.24e-19,-1.09e+01,34.0742176,-3.48,SAA2-SAA4///SAA4,"SAA2-SAA4 readthrough///serum amyloid A4, constitutive",Downregulated
232165_at,1.26e-17,1.40e-19,1.09e+01,33.95332,5.28,EPPK1,epiplakin 1,Upregulated
228268_at,1.37e-17,1.54e-19,-1.09e+01,33.8569964,-4.30,FMO2,flavin containing monooxygenase 2,Downregulated
226018_at,1.39e-17,1.56e-19,-1.09e+01,33.8418954,-3.83,MTURN,"maturin, neural progenitor differentiation regulator homolog (Xenopus)",Downregulated
226213_at,1.45e-17,1.64e-19,1.08e+01,33.7953784,4.58,ERBB3,erb-b2 receptor tyrosine kinase 3,Upregulated
204058_at,2.41e-17,2.79e-19,-1.07e+01,33.2692696,-3.65,ME1,malic enzyme 1,Downregulated
203548_s_at,2.55e-17,2.96e-19,-1.07e+01,33.2090887,-6.46,LPL,lipoprotein lipase,Downregulated
208350_at,2.56e-17,2.98e-19,-1.07e+01,33.2048475,-3.08,CSN1S1,casein alpha s1,Downregulated
232812_at,3.20e-17,3.76e-19,-1.07e+01,32.9734923,-3.05,LOC401052,uncharacterized LOC401052,Downregulated
